ID,Platform,Age,Gender,Monthly Subscription Cost ($),Average Time Spent Watching (hours/day),Favorite Genre,Satisfaction Level (1-5),Traditional TV Usage (Yes/No),Time Spent Before (hours/day),Time Spent After (hours/day)
1,Netflix,23,Female,15.99,5.5,Educational,3,No,4.91,7.37
2,Disney+,35,Male,7.99,5.2,Fantasy,5,Yes,4.11,6.28
3,Disney+,22,Female,7.99,4.1,Drama,5,Yes,2.63,5.41
4,Netflix,19,Male,15.99,4,Comedy,4,Yes,3.18,5.81
5,Netflix,27,Female,15.99,4.5,Drama,1,No,3.74,5.82
6,YouTube,59,Female,0,2.6,Family,4,Yes,1.37,3.64
7,Disney+,56,Female,7.99,3,Educational,3,No,1.78,3.78
8,Amazon Prime Video,38,Female,12.99,5.6,Drama,5,No,3.69,6.85
9,Netflix,25,Female,15.99,4.6,Documentary,4,Yes,2.74,5.97
10,Netflix,25,Male,15.99,1.9,Drama,3,Yes,1.16,3.72
11,Hulu,22,Male,14.99,1.9,Family,1,No,0.16,3.59
12,Netflix,49,Female,15.99,4.4,Fantasy,5,No,3.60,5.96
13,Amazon Prime Video,21,Male,12.99,2.5,Comedy,1,No,1.57,3.58
14,Netflix,32,Male,15.99,4.4,Fantasy,4,No,2.94,5.71
15,Netflix,28,Male,15.99,2.9,Educational,1,No,1.62,3.97
16,Disney+,58,Male,7.99,4.5,Drama,1,Yes,2.99,5.94
17,Disney+,43,Male,7.99,5.7,Drama,2,Yes,4.63,7.14
18,Netflix,42,Female,15.99,4.8,Music,4,No,3.10,5.46
19,YouTube,54,Female,0,1.5,Music,5,No,0.27,3.17
20,Amazon Prime Video,50,Male,12.99,4.4,Documentary,4,No,2.76,5.59
21,Hulu,25,Female,14.99,1.3,Action,5,No,0.14,2.30
22,YouTube,20,Female,0,4.1,Family,3,No,3.42,5.70
23,Amazon Prime Video,39,Female,12.99,4.7,Documentary,3,Yes,3.03,6.17
24,Hulu,58,Male,14.99,5.2,Educational,1,No,4.47,6.31
25,YouTube,30,Male,0,3.6,Thriller,2,Yes,1.78,5.41
